ชื่อ,ชื่อเสียง,เครือ,ประเภท,ขนาด,จำนวนเตียง,ห้องธรรมดา,ห้องพิเศษ,แผนก,โรงพยาบาลเฉพาะทาง,ค่าบริการ
พญาไท 3 : BDMS,zero,BDMS,Private Hospital,Large Hospital,230,6200,3,9,Normal Hospital,5000
พญาไท นวมินทร์ : BDMS,zero,BDMS,Private Hospital,Large Hospital,140,4100,4,9,Normal Hospital,2250
พระมงกุฎเกล้า,famous,zero,Public Hospital,Large Hospital,953,2000,1,9,Normal Hospital,0
พระราม 2,zero,zero,Private Hospital,Large Hospital,109,0,3,7,Normal Hospital,1000
พระรามเก้า,famous,zero,Private Hospital,Large Hospital,166,7950,5,9,Normal Hospital,2000
เพชรเวช,zero,zero,Private Hospital,Large Hospital,200,4810,2,9,Normal Hospital,300
แพทย์ปัญญา,zero,zero,Private Hospital,Large Hospital,125,2150,2,9,Normal Hospital,1440
ภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ,zero,zero,Private Hospital,Large Hospital,619,2000,2,9,Normal Hospital,0
มงกุฎวัฒนะ,zero,zero,Private Hospital,Large Hospital,100,0,3,8,Normal Hospital,1000
มเหสักข์,zero,zero,Private Hospital,Large Hospital,132,3580,1,9,Normal Hospital,1440
มิชชั่น,zero,zero,Private Hospital,Large Hospital,120,4000,2,6,Normal Hospital,1188
มิตรประชา,zero,zero,Private Hospital,Large Hospital,148,1800,1,9,Normal Hospital,0
เมดพาร์ค,famous,zero,Private Hospital,Large Hospital,205,11000,4,9,Normal Hospital,0
ยันฮี,famous,zero,Public Hospital,Large Hospital,400,5040,2,0,Normal Hospital,3500
รพ.ผู้สูงอายุบางขุนเทียน,zero,zero,Public Hospital,Medium Hospital,31,0,1,9,Normal Hospital,0
รพ.สิรินธร,zero,zero,Private Hospital,Large Hospital,305,2000,1,0,Normal Hospital,0
รัชดา-ท่าพระ,zero,zero,Public Hospital,Small Hospital,25,0,3,8,Normal Hospital,300
ราชพิพัฒน์,zero,zero,Public Hospital,Large Hospital,277,0,4,8,Normal Hospital,0
ราชวิถี,famous,zero,Private Hospital,Large Hospital,1031,4300,3,9,Normal Hospital,0
รามคำแหง,famous,RAM,Public Hospital,Large Hospital,486,3500,2,9,Normal Hospital,1500
รามาธิบดี,famous,zero,Private Hospital,Large Hospital,1378,1000,2,9,Normal Hospital,250
ราษฎร์บูรณะ,zero,zero,Public Hospital,Large Hospital,124,3950,2,9,Normal Hospital,1000
ลาดกระบังกรุงเทพมหานคร,zero,zero,Public Hospital,Medium Hospital,60,2000,2,9,Normal Hospital,0
ลาดพร้าว,zero,zero,Private Hospital,Large Hospital,180,4700,2,8,Normal Hospital,800
เลิดสิน,zero,zero,Public Hospital,Large Hospital,609,1600,1,9,Normal Hospital,0
วชิรพยาบาล,famous,zero,Public Hospital,Large Hospital,740,2400,3,9,Normal Hospital,0
วิชัยยุทธ,zero,zero,Private Hospital,Large Hospital,207,5500,6,9,Normal Hospital,2530
วิชัยเวช แยกไฟฉาย,zero,zero,Private Hospital,Medium Hospital,49,3250,2,9,Normal Hospital,1200
วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),zero,zero,Private Hospital,Large Hospital,172,4200,2,8,Normal Hospital,3000
วิภาราม,zero,RAM,Private Hospital,Large Hospital,150,2200,2,9,Normal Hospital,1440
วิภาวดี,zero,zero,Private Hospital,Large Hospital,258,4360,4,8,Normal Hospital,1400
เวชการุณย์รัศมิ์,zero,zero,Public Hospital,Medium Hospital,90,0,4,9,Normal Hospital,0
เวชธานี,zero,zero,Private Hospital,Large Hospital,263,5850,6,8,Specialized Hospital,2200
เวชศาสตร์เขตร้อน,zero,zero,Public Hospital,Large Hospital,106,1700,3,3,Normal Hospital,0
ศิครินทร์,zero,zero,Private Hospital,Large Hospital,258,5100,5,9,Normal Hospital,1500
ศิริราช ปิยมหาราชการุณย์,famous,zero,Private Hospital,zero,0,6700,4,9,Specialized Hospital,180
ศิริราชพยาบาล,zero,zero,Public Hospital,Large Hospital,2112,1000,2,9,Normal Hospital,100
สถาบันประสาทวิทยา,zero,zero,Public Hospital,Large Hospital,300,1100,0,4,Normal Hospital,0
สถาบันมะเร็งแห่งชาติ,zero,zero,Public Hospital,Large Hospital,163,2000,1,0,Normal Hospital,0
สถาบันโรคไตภูมิราชนครินทร์,zero,zero,Private Hospital,Large Hospital,128,0,2,3,Normal Hospital,0
สถาบันโรคผิวหนัง,zero,zero,Public Hospital,Small Hospital,10,1200,0,0,Normal Hospital,0
สถาบันสุขภาพเด็กแห่งชาติมหาราชินี(โรงพยาบาลเด็ก),zero,zero,Public Hospital,Large Hospital,433,0,0,8,Normal Hospital,0
สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,zero,zero,Public Hospital,Large Hospital,414,2200,1,0,Normal Hospital,0
สมิติเวชไชน่าทาวน์ : BDMS,zero,SVH,Private Hospital,Medium Hospital,31,6190,3,6,Normal Hospital,1500
สมิติเวชธนบุรี : BDMS,zero,SVH,Private Hospital,Large Hospital,150,6190,3,8,Normal Hospital,1500
สมิติเวชศรีนครินทร์ : BDMS,famous,SVH,Private Hospital,Large Hospital,154,7255,4,9,Normal Hospital,2000
สมิติเวชสุขุมวิท : BDMS,famous,SVH,Private Hospital,Large Hospital,275,9000,6,7,Specialized Hospital,2200
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,zero,zero,Public Hospital,Medium Hospital,60,1400,3,7,Normal Hospital,0
สหวิทยาการมะลิ,zero,zero,Private Hospital,Small Hospital,19,4800,3,6,Normal Hospital,1000
สินแพทย์ ,zero,RAM,Private Hospital,Large Hospital,287,3100,4,9,Normal Hospital,400
สินแพทย์  ศรีนครินทร์,zero,RAM,Private Hospital,Large Hospital,110,2800,1,9,Specialized Hospital,1200
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),zero,zero,Private Hospital,Medium Hospital,52,3440,1,4,Normal Hospital,1440
สุขสวัสดิ์,zero,zero,Private Hospital,Large Hospital,100,4200,3,8,Normal Hospital,100
สุขุมวิท,zero,RAM,Private Hospital,Large Hospital,135,2760,3,8,Specialized Hospital,1440
เสรีรักษ์,zero,RAM,Private Hospital,Large Hospital,238,4050,2,9,Normal Hospital,1200
หลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ,zero,zero,Public Hospital,Large Hospital,139,0,1,9,Normal Hospital,0
หัวเฉียว,zero,zero,Private Hospital,Large Hospital,338,3300,3,6,Normal Hospital,2000
อินทรารัตน์,zero,zero,Private Hospital,Large Hospital,152,3800,2,8,Normal Hospital,0
เอส วาย เอช,zero,zero,Private Hospital,Small Hospital,6,0,1,1,Normal Hospital,0
