ชื่อ,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนก,โรงพยาบาลเฉพาะทาง,จำนวนแพทย์,จำนวนครั้งในการเคลม
สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,60,1400,7,2,45,26
สหวิทยาการมะลิ,19,4800,6,2,10,178
สินแพทย์ ,287,3100,9,2,258,1620
สินแพทย์  ศรีนครินทร์,110,2800,9,1,21,823
สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),52,3440,4,2,5,94
สุขสวัสดิ์,100,4200,8,2,49,202
สุขุมวิท,135,2760,8,1,46,1439
เสรีรักษ์,238,4050,9,2,231,4454
หลวงพ่อทวีศักดิ์ฯ ชุตินธโร อุทิศ,139,2000,9,2,86,70
หัวเฉียว,338,3300,6,2,391,2445
อินทรารัตน์,152,3800,8,2,21,260
เอส วาย เอช,150,2000,1,2,4,9
